state_code,subcomponent_code,implements
BO,C1,1
BO,C1.1,1
BO,C1.2,1
BO,C2.1,1
BO,C2.2a,1
BO,C2.2b,1
BO,C2.2c,1
BO,C2.3,1
BO,C3,1
BO,PDO,1
EK,C1,1
EK,C1.1,0
EK,C1.2,1
EK,C2.1,1
EK,C2.2a,1
EK,C2.2b,1
EK,C2.2c,1
EK,C2.3,1
EK,C3,1
EK,PDO,1
KD,C1,1
KD,C1.1,1
KD,C1.2,1
KD,C2.1,1
KD,C2.2a,1
KD,C2.2b,1
KD,C2.2c,1
KD,C2.3,1
KD,C3,1
KD,PDO,1
KN,C1,1
KN,C1.1,1
KN,C1.2,1
KN,C2.1,1
KN,C2.2a,1
KN,C2.2b,1
KN,C2.2c,1
KN,C2.3,1
KN,C3,1
KN,PDO,1
KT,C1,1
KT,C1.1,1
KT,C1.2,1
KT,C2.1,1
KT,C2.2a,1
KT,C2.2b,1
KT,C2.2c,1
KT,C2.3,1
KT,C3,1
KT,PDO,1
KE,C1,1
KE,C1.1,1
KE,C1.2,1
KE,C2.1,1
KE,C2.2a,1
KE,C2.2b,1
KE,C2.2c,1
KE,C2.3,1
KE,C3,1
KE,PDO,1
PL,C1,1
PL,C1.1,1
PL,C1.2,1
PL,C2.1,1
PL,C2.2a,1
PL,C2.2b,1
PL,C2.2c,1
PL,C2.3,1
PL,C3,1
PL,PDO,1
AD,C1,1
AD,C1.1,1
AD,C1.2,1
AD,C2.1,1
AD,C2.2a,1
AD,C2.2b,1
AD,C2.2c,1
AD,C2.3,1
AD,C3,1
AD,PDO,1
BA,C1,1
BA,C1.1,1
BA,C1.2,1
BA,C2.1,1
BA,C2.2a,1
BA,C2.2b,1
BA,C2.2c,1
BA,C2.3,1
BA,C3,1
BA,PDO,1
GO,C1,1
GO,C1.1,1
GO,C1.2,1
GO,C2.1,1
GO,C2.2a,1
GO,C2.2b,1
GO,C2.2c,1
GO,C2.3,1
GO,C3,1
GO,PDO,1
JI,C1,1
JI,C1.1,1
JI,C1.2,1
JI,C2.1,1
JI,C2.2a,1
JI,C2.2b,1
JI,C2.2c,1
JI,C2.3,1
JI,C3,1
JI,PDO,1
KO,C1,1
KO,C1.1,1
KO,C1.2,1
KO,C2.1,1
KO,C2.2a,1
KO,C2.2b,1
KO,C2.2c,1
KO,C2.3,1
KO,C3,1
KO,PDO,1
KW,C1,1
KW,C1.1,1
KW,C1.2,1
KW,C2.1,1
KW,C2.2a,1
KW,C2.2b,1
KW,C2.2c,1
KW,C2.3,1
KW,C3,1
KW,PDO,1
NA,C1,1
NA,C1.1,1
NA,C1.2,1
NA,C2.1,1
NA,C2.2a,1
NA,C2.2b,1
NA,C2.2c,1
NA,C2.3,1
NA,C3,1
NA,PDO,1
NI,C1,1
NI,C1.1,1
NI,C1.2,1
NI,C2.1,1
NI,C2.2a,1
NI,C2.2b,1
NI,C2.2c,1
NI,C2.3,1
NI,C3,1
NI,PDO,1
SO,C1,1
SO,C1.1,1
SO,C1.2,1
SO,C2.1,1
SO,C2.2a,1
SO,C2.2b,1
SO,C2.2c,1
SO,C2.3,1
SO,C3,1
SO,PDO,1
YO,C1,1
YO,C1.1,1
YO,C1.2,1
YO,C2.1,1
YO,C2.2a,1
YO,C2.2b,1
YO,C2.2c,1
YO,C2.3,1
YO,C3,1
YO,PDO,1
ZA,C1,1
ZA,C1.1,1
ZA,C1.2,1
ZA,C2.1,1
ZA,C2.2a,1
ZA,C2.2b,1
ZA,C2.2c,1
ZA,C2.3,1
ZA,C3,1
ZA,PDO,1
DE,C1,1
DE,C1.1,0
DE,C1.2,1
DE,C2.1,1
DE,C2.2a,0
DE,C2.2b,0
DE,C2.2c,0
DE,C2.3,0
DE,C3,1
DE,PDO,1
EN,C1,1
EN,C1.1,0
EN,C1.2,1
EN,C2.1,1
EN,C2.2a,0
EN,C2.2b,0
EN,C2.2c,0
EN,C2.3,0
EN,C3,1
EN,PDO,1
TA,C1,1
TA,C1.1,0
TA,C1.2,1
TA,C2.1,1
TA,C2.2a,0
TA,C2.2b,0
TA,C2.2c,0
TA,C2.3,0
TA,C3,1
TA,PDO,1
